Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahamas,5.088179873157103,5.2655458208069765,5.4890673891333295,6.037997544561763,6.439959192689728,6.89233335066263,13.962337,14.721575,15.390086,16.76531,17.796726,18.61804,19.889805,20.980114,23.722603,26.180178,27.294363,28.16502,29.885641,32.60266,36.54688,40.60888,43.050537,44.77256,46.548393,48.69195,51.33777,54.293007,56.68321,59.737106,62.526424,66.974976,70.81814,72.746445,73.764404,75.289116,76.32745,76.74279,77.76855,78.74396,80.00884,81.64501,83.41963,85.943115,86.787,88.16831,90.27538,92.525566,96.67956,98.6738,100.0,103.198784,105.235275,105.99551,107.60002,109.60298,109.223335,110.88158,113.394,116.21891,116.26368,119.64104,126.347404,130.20468
Bahrain,6.870654227470583,7.1101544276224695,7.411979332919974,8.153208885923238,8.69598440994925,17.965654,18.349127,19.130451,19.753592,19.715244,20.036402,21.196405,22.27492,25.467321,31.679565,36.798916,45.077114,53.06979,61.44714,62.80266,65.23283,72.633224,79.087204,81.437996,81.70055,79.54695,77.720474,76.36425,76.59597,77.73411,78.45652,79.05625,78.91995,80.923615,81.584694,83.79077,83.41184,85.44005,85.12688,84.03079,83.4385,82.43092,82.022446,83.329575,85.29027,87.496056,89.25251,92.159164,95.4087,98.07587,100.0,99.59996,102.34633,105.72376,108.52286,110.529045,113.60926,115.1847,117.58937,118.77211,116.019325,115.31587,119.49693,119.5861
Bangladesh,2.479949388609081,2.566396523812548,2.6753396411021373,2.9428850182861326,3.1387987965662876,3.3592833400483073,3.684725245037155,3.852478192880649,3.998495431705233,4.248963324661276,4.455809568853989,4.70109435508196,5.08192386387355,5.58680088362103,6.547790934603738,7.376976526142356,8.269921793030122,9.37102280451854,9.781170878710116,10.451042272697974,12.862652060393527,14.216361090045897,15.363157031792536,16.802253399215743,17.9702108893654,19.546982532948174,24.280003,26.67758,28.655127,30.387466,32.24922,34.29942,35.545887,36.61753,38.563293,42.534466,43.545567,45.855923,49.708843,52.74441,53.909145,54.991196,56.82381,60.044987,64.60092,69.15311,73.83149,80.55531,87.7263,92.484116,100.0,111.395164,118.32117,127.23123,136.12677,144.55885,152.52914,161.22646,170.16425,179.67982,189.90553,200.43704,215.8646,237.19957
Barbados,3.8537016881409842,3.988035667857966,4.157327136844638,4.5730775858030155,4.877516564096747,5.220137127777771,6.138362,6.361484,6.837879,7.236885,7.7640357,8.343951,9.334933,10.908344,15.154191,18.229654,19.138725,20.73726,22.703648,25.693682,29.401413,33.684483,37.16492,39.108757,40.941315,42.54421,43.110077,44.537766,46.701794,49.592686,51.11745,54.31614,57.626106,58.26774,58.312725,59.40834,60.825912,65.515915,64.68459,65.69372,67.29389,69.02862,69.115074,70.234344,71.213715,75.54506,81.06564,84.33601,91.17407,94.49633,100.0,109.432205,114.39314,116.46835,118.52927,117.21028,118.71284,124.24507,128.8096,134.09117,440.96156273779974,604.843101065893,155.64883,170.89008
Belarus,2.8992589171795413,3.0003225230557278,3.127685728820314,3.440467644497197,3.6695064995988522,3.9272705417711142,4.307738122842199,4.503854717863192,4.674560532936921,4.9673775055152465,5.209197286481491,5.4959547933025386,5.941174907213164,6.531416469522987,7.654890596628097,8.62427478297775,9.668199122510192,10.955474153579962,11.434970012215562,12.218103176667785,15.037467641865721,16.62006162282086,17.960757677170196,19.64317627615319,21.00861187082968,22.851983864230387,24.163250956007385,25.096651267488003,26.136680808676896,27.580051510188333,29.46921458191517,31.93595385187548,0.00014469752,0.0018669298,0.04333175,0.3507038,0.53556705,0.87799454,1.5177866,5.9752035,16.050606,25.863132,36.864674,47.333447,55.9047,61.68462,66.00077,71.5625,82.180855,92.8197,100.0,153.2287,243.97032,288.64682,340.94833,387.09393,432.91263,459.0252,481.39032,508.3393,536.54266,587.30115,676.62775,710.4632
Belgium,15.596081,15.7509,15.972138,16.31522,16.995363,17.686258,18.424543,18.92759,19.43891,20.168644,20.95693,21.867222,23.058641,24.662436,27.789112,31.33728,34.179134,36.60449,38.240925,39.949944,42.60609,45.855865,49.857502,53.677387,57.081486,59.860634,60.63545,61.57735,62.29222,64.22768,66.442444,68.57877,70.243835,72.17865,73.89473,74.97948,76.53682,77.78296,78.52132,79.40142,81.42181,83.43232,84.80496,86.15248,87.95934,90.40587,92.02523,93.702896,97.90964,97.857605,100.0,103.53208,106.472046,107.65718,108.02322,108.62969,110.77388,113.12891,115.45162,117.11046,117.978004,120.85696,132.45622,137.81938
Belize,4.143556737448353,4.287994608297942,4.470019285784238,4.917040283590033,5.244377550907008,5.61276822042811,6.156524074583218,6.436809575753701,6.680778552094203,7.0992660946785255,7.444869578635636,7.854697066743578,8.490995809056855,9.334555998779452,10.940200379531738,12.32562282411717,13.817576407436306,15.657321418250003,16.342606297035836,17.461842899416286,43.505684,48.388977,51.698315,54.28121,56.117493,59.617634,60.094437,61.30348,63.227726,64.573,66.54833,67.0554,68.66251,69.67364,71.46379,73.528824,77.91483,78.810104,80.54019,82.65147,85.18675,88.29727,92.04131,94.174904,100.19685,99.09037,92.04131,94.174904,100.19685,99.09037,100.0,101.60206,102.92347,103.44812,104.69095,103.78895,104.47751,105.67655,105.96186,106.16008,106.288994,109.72813,116.61564,121.73488
Benin,2.5366061122034163,2.625028211681252,2.73646023463647,3.010117931916061,3.2105075405640955,3.436029256132877,3.7689061806191626,3.940491598771026,4.089844735649858,4.346034797875019,4.557606634669573,4.80849517732864,5.198025086344234,5.7144364857400864,6.6973812378733575,7.545510336519013,8.458855758911286,9.58511243524669,10.004630719241321,10.689805941036006,13.156511171318593,14.541146928214856,15.71414247749747,17.186116324392323,18.380756877104986,19.993551318407818,21.14079901678465,21.957445271179072,22.86738307473968,24.130210248240626,25.783068006578777,27.94125604294795,38.90351,39.07492,54.130825,61.959522,65.004364,67.25761,71.127144,71.359535,74.33195,77.29355,79.217514,80.39567,81.09824,85.44878,88.680595,89.83173,96.970924,97.83986,100.0,102.70424,109.63132,110.10151,109.49732,109.736885,108.86633,108.91343,109.914536,110.72004,114.066795,116.04419,117.611694,120.82369
Bhutan,2.4241796727723375,2.508682763396773,2.6151759408926245,2.8767046913956396,3.06821271212551,3.2837389446061582,3.6018622314627318,3.7658427094828575,3.908576276489816,4.15341158545824,4.355606220100568,4.595374981328253,4.967640301840394,5.461163522170374,6.400542590964731,7.211081251631116,8.083945744281781,9.160284923613332,9.561209486368057,10.2160166466012,10.86,11.943,13.119,15.488,16.578,16.89,18.573,19.749,21.743,23.652,26.02,29.214,33.881,37.675,40.316,44.141,48.021,51.145,56.559,60.392,62.815,64.96,66.555,68.267,71.07,74.84569,78.58831,82.64041,89.52201,93.42618,100.0,108.84898,120.734924,131.33109,142.19356,148.66072,153.44743,161.05087,165.43785,169.9484,179.51541,192.70407,203.57098,212.1807
Bolivia,2.2431195e-05,2.4127328e-05,2.5545853e-05,2.5365409e-05,2.7948068e-05,2.8747463e-05,3.074595e-05,3.4189496e-05,3.6059875e-05,3.685671e-05,3.8314578e-05,3.972249e-05,4.230904e-05,5.5630473e-05,9.058648e-05,9.7812335e-05,0.00010220803,0.0001104943,0.000121936726,0.0001459823,0.00021494675,0.0002840169,0.00063487916,0.0023845192,0.032938555,3.9030998,14.688768,16.8302,19.523384,22.485758,26.335045,31.98314,35.840412,38.896835,41.95959,46.236618,51.981743,54.429276,58.60576,59.871357,62.630367,63.625973,64.21659,66.35967,69.304306,73.042046,76.16999,82.801056,94.39884,97.55785,100.0,109.88446,114.84641,121.43446,128.4371,133.65115,138.4936,142.40295,145.63843,148.31752,149.7128,150.81676,153.45052,157.40477
