Country Name,Population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,41454761.0,7.583975836950635,8.026715498907189,9.070468408949196,9.579326392610684,10.352288841152811,11.711687488378528,12.55466240688872,13.089815327685663,13.783549253796265,14.936767698250833,20.34304271704761,22.49875474411167,26.101988965173827,33.224771263229194,44.35281319775498,48.77566603018127,53.16240559970058,59.2061728766026,66.6904993588253,79.5167704024612,95.08282815470832,92.3140202323985,88.57843930542435,84.93585891671523,84.38040306878166,84.514391033977,96.40352720235796,112.54069855773496,123.10700211285996,126.12043065538788,150.35125132183128,151.4545699105816,159.41533951974682,155.03805818153867,164.9217889177709,187.34172747399,193.09885497336336,194.0384883571908,198.8810459840648,203.3002030595057,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086
Albania,2745972.0,57.72011740193094,61.08972007683855,69.03351391287684,72.90632985919721,78.78919186144151,89.13530202856508,95.55101488279476,99.62395631621652,104.90382594155363,113.68073998176948,154.8268136904571,171.23350510957457,198.6569973170586,252.867063291828,337.5603561930222,371.22180109047247,404.608395194675,450.6062944855828,507.5680006560461,605.1861743401706,590.607738430529,663.2942082544,668.454504242454,661.546782448624,639.484730161417,639.865903755552,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,750.604449178826,1009.97711053398,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5365.48934672897,5460.42823730592,5370.77862312929,6413.28328605026,6846.42614266044,8575.17113446213
Algeria,46164219.0,238.392476666447,209.370672655334,169.60286272133,225.584660210993,238.863801545015,253.622059985778,241.44896961658,261.792442124002,292.436036368561,315.914655734237,352.845766557928,360.111081707845,469.030996510511,589.518126935221,872.889277439184,992.302037378411,1080.38620675609,1232.49418664321,1505.94222127977,1843.11929565984,2275.77971158899,2307.33434430543,2274.87800990349,2373.82511968473,2524.38071403143,2632.51711109075,2800.20270812187,2847.0776691988,2450.87242078961,2247.4602712492,2445.18332740258,1759.11201648229,1802.69300801289,1831.04800976449,1525.54061760288,1466.94806760415,1616.83198721285,1628.76100561506,1603.36623200836,1596.11822239025,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731
Andorra,80856.0,879.1318131908719,930.4540391783268,1051.445509622862,1110.4321482212313,1200.0336835537232,1357.6146969005808,1455.3320531418249,1517.3667916100546,1597.784184471746,1731.46486118737,3935.41127779609,4169.69537103885,4940.29696239207,6151.02717030722,7139.5745119838,7925.41577090452,7721.28858646797,8167.92286159334,9409.50851272793,11996.4072860354,12474.9252919904,10465.2604643624,9697.52201994133,8082.09152017435,7808.13002713549,7911.98436223964,10539.1177869653,12828.1519430152,14599.0355178798,15714.9265516576,19563.6574722488,19533.2620668023,20099.5352208543,15916.8395162087,15748.5307503373,18443.2545197741,19130.1597151312,18247.9995651361,18536.5084282698,18875.2883698571,21810.2487431414,23511.2951475737,26528.130158144,34063.5784034776,39021.1278101878,40829.801876968,43467.2109930745,48336.2283329823,49132.515707808,43975.0183668093,42746.8309526019,46657.1561173756,41500.5435791686,42470.3161159692,44369.659691379,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291,42414.0590092117,46812.4484486309
Angola,36749906.0,44.28234660388335,46.86747498344966,52.96188102125636,55.93307002410943,60.446347992554486,68.38378916635224,73.30586543906067,76.43058888680034,80.48125661404013,87.21482485914433,118.7817166010534,131.36878032764267,152.40783294363885,193.9973001686972,258.97322052518325,284.7979734403003,310.4118633385215,345.7010313294092,389.401531767141,464.2933025481526,729.111965489822,657.982648547398,634.221467312782,636.83281102292,650.491094413218,772.468832586265,697.526602399253,770.10114008645,807.43962838624,907.747893072936,965.866840464665,881.919488130062,668.706017459877,449.727894936295,334.973590276074,404.29481849612,531.11713680614,521.702725075533,429.188654099367,392.725539027496,563.733795571487,533.586202412447,882.147847234303,992.698979254665,1266.21086410236,1916.46842218625,2617.05196022633,3141.0459797605,4103.0669003635,3136.64546955947,3597.34293216332,4615.91059831778,5086.02740086376,5057.74787833163,5005.9997412707,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167,2929.69445467272,2308.15976731274
Antigua and Barbuda,93316.0,317.70156166967945,336.2484406472448,379.9724630659329,401.289115380366,433.66941066260847,490.6161998455381,525.9293988610483,548.3475766512403,577.408897051912,625.718557924567,852.1937014659154,942.498983580809,1093.4426526673603,1391.8242810079923,1857.990890308008,2043.2693355597503,2227.034954258613,1213.49623087746,1374.70460247561,1704.96911947576,2052.93104863734,2310.02517247008,2568.8959778641,2846.70816749543,3270.43852829125,3813.91284303455,4629.05341086933,5423.96304289151,6465.80755503629,7187.49543068532,7590.34333226449,7956.0068690332,8153.27780423116,8624.16840735715,9351.04426569501,9033.93237640697,9755.66153983668,10335.8421543438,10906.5205071392,11341.9327072844,12021.463208189,11535.7742945854,11657.3487497259,12171.3773760407,13036.0075900543,14366.2912765172,16172.2513541282,18203.5151277783,18785.4682161899,16471.3678310675,15216.3098400792,14841.9709613705,15208.6569723517,15050.7122765935,15533.4831254394,16080.6580495873,16557.843174789,16924.7894487758,18273.4270684912,18884.3729680383,15360.4544160475,17340.3790692554,20117.7653310355,21787.1017315914
Argentina,45538401.0,317.1477003581672,335.66224585061843,1160.30659798113,852.972425139433,1176.20086190313,1281.83337976859,1275.07843418966,1063.93283833587,1141.95211617341,1329.56181832409,1322.71454216808,1372.50746646061,1409.37097316211,2097.89945010806,2844.96990526761,2026.68435752865,1946.91990388248,2126.48546048047,3282.06304446289,2511.97332905958,2747.5022751674,2764.08641421079,2914.76708504176,3537.7473459832,3915.03492645691,2905.77565536137,3436.07819471053,3477.30131979313,3992.70330179156,2374.57321551641,4315.33329358672,5709.24784079504,6789.99611136495,6931.85596375876,7437.56242327594,7357.6162773788,7663.21271287469,8146.78710021431,8218.99212764682,7705.54288252851,7637.01489203628,7141.47507662826,2569.69963519124,3320.47775133903,4242.02099089422,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965
Armenia,2990900.0,45.93156138655914,48.6129681313357,54.93434914449969,58.01619463241806,62.69756136116453,70.93061797371817,76.0360079498087,79.27710599142172,83.47863340898529,90.46298105359423,123.20552378278222,136.2613696124083,158.0839831561524,201.22237381033088,268.61820315060345,295.4047516238363,321.97258387384505,358.576032204018,403.9040776311095,481.5850550586807,575.8592659166019,559.0902685219189,536.4661109097867,514.4052013912852,511.0411407817327,511.8526249663796,583.8579424267159,681.5910434610867,745.5847626929747,763.8352794484161,635.355327502517,572.740260900977,356.350780006933,347.870644720878,390.879964297655,443.924860857976,487.068624404558,505.035887057966,590.239947333459,582.669886150895,593.450581742282,659.588988535629,742.651118319819,882.030167695474,1130.08791444158,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8053.01066312345
Aruba,107359.0,565.9986977249491,599.0407428851762,676.9369282807163,714.9134411641155,772.6002994388436,874.0534001027535,936.9653497646876,976.9042766240012,1028.6782415189227,1114.7439347366535,1518.2189306976436,1679.101589901745,1948.0140865348,2479.593510250189,3310.088936209076,3640.1702810342617,3967.5564617113287,4418.608058080157,4977.169837990794,5934.405576004972,7096.11397353933,6889.475435657598,6610.685789518157,6338.836854250879,6297.382702321444,6307.382340432353,6767.55922942669,8244.04566011433,10056.2613927414,11507.2171509849,12187.5363611898,13233.9905169683,13892.6051427736,14700.9598081521,16055.2877874337,16548.7173868987,16620.9545555513,17750.0095644198,18828.0870594071,19216.1972354472,20681.0230269625,20740.1325828172,21307.2482505267,21949.4859960868,23700.6319899197,24171.8371325422,24845.65848362,26736.3089444046,28171.9094008501,25134.7712303589,24093.1401510626,25712.3843015186,25119.6655449838,25813.5767274227,26129.8390617693,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969,30559.5335346581,33984.7906198041
Australia,26658948.0,1810.7064295701,1877.70706376424,1854.74615414162,1967.21127365791,2131.38029982805,2281.11030526567,2343.9159187567,2580.11059164641,2724.1306715175,2991.47727876684,3304.92736975744,3495.2282008845,3949.46164337606,4770.81017208508,6482.93848103472,7003.84247098582,7486.6826042084,7775.65846867125,8252.73445733837,9294.51578251874,10208.8036844943,11853.6694186454,12779.1459164023,11515.7445121041,12421.8807735017,11441.5819707185,11392.0043948477,11651.3301169821,14284.960791833,17834.4526910252,18249.3014538169,18859.9074576986,18624.1877335866,17699.8764915704,18129.6353064456,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52144.6654705468,62605.600458306,68072.8732340801,68190.7010035651,62544.0873773726,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64820.9117890026
